"x","cos(x)"
0.000000,1.000000
0.062832,0.998027
0.125664,0.992115
0.188496,0.982287
0.251328,0.968583
0.314160,0.951056
0.376992,0.929776
0.439824,0.904827
0.502656,0.876306
0.565488,0.844327
0.628320,0.809016
0.691152,0.770512
0.753984,0.728967
0.816816,0.684546
0.879648,0.637422
0.942480,0.587783
1.005312,0.535825
1.068144,0.481751
1.130976,0.425777
1.193808,0.368122
1.256640,0.309014
1.319472,0.248687
1.382304,0.187378
1.445136,0.125330
1.507968,0.062787
1.570800,-0.000004
1.633632,-0.062794
1.696464,-0.125337
1.759296,-0.187385
1.822128,-0.248694
1.884960,-0.309021
1.947792,-0.368129
2.010624,-0.425784
2.073456,-0.481758
2.136288,-0.535831
2.199120,-0.587789
2.261952,-0.637428
2.324784,-0.684551
2.387616,-0.728972
2.450448,-0.770517
2.513280,-0.809020
2.576112,-0.844331
2.638944,-0.876310
2.701776,-0.904830
2.764608,-0.929779
2.827440,-0.951059
2.890272,-0.968585
2.953104,-0.982289
3.015936,-0.992116
3.078768,-0.998027
3.141600,-1.000000
3.204432,-0.998026
3.267264,-0.992114
3.330096,-0.982286
3.392928,-0.968581
3.455760,-0.951054
3.518592,-0.929773
3.581424,-0.904823
3.644256,-0.876303
3.707088,-0.844323
3.769920,-0.809012
3.832752,-0.770508
3.895584,-0.728962
3.958416,-0.684540
4.021248,-0.637417
4.084080,-0.587778
4.146912,-0.535819
4.209744,-0.481745
4.272576,-0.425770
4.335408,-0.368115
4.398240,-0.309007
4.461072,-0.248680
4.523904,-0.187371
4.586736,-0.125323
4.649568,-0.062780
4.712400,0.000011
4.775232,0.062802
4.838064,0.125344
4.900896,0.187393
4.963728,0.248701
5.026560,0.309028
5.089392,0.368136
5.152224,0.425790
5.215056,0.481764
5.277888,0.535837
5.340720,0.587795
5.403552,0.637434
5.466384,0.684556
5.529216,0.728977
5.592048,0.770522
5.654880,0.809025
5.717712,0.844335
5.780544,0.876313
5.843376,0.904833
5.906208,0.929782
5.969040,0.951061
6.031872,0.968587
6.094704,0.982290
6.157536,0.992117
6.220368,0.998028
6.283200,1.000000
