"x","f(x)","f'(x)"
-0.000000,0.000000,0.999342
0.062832,0.062791,0.997370
0.125664,0.125333,0.991462
0.188496,0.187381,0.981641
0.251327,0.248690,0.967946
0.314159,0.309017,0.950431
0.376991,0.368125,0.929165
0.439823,0.425779,0.904232
0.502655,0.481754,0.875730
0.565487,0.535827,0.843772
0.628319,0.587785,0.808485
0.691150,0.637424,0.770006
0.753982,0.684547,0.728489
0.816814,0.728969,0.684097
0.879646,0.770513,0.637005
0.942478,0.809017,0.587399
1.005310,0.844328,0.535474
1.068142,0.876307,0.481437
1.130973,0.904827,0.425499
1.193805,0.929776,0.367882
1.256637,0.951057,0.308814
1.319469,0.968583,0.248526
1.382301,0.982287,0.187258
1.445133,0.992115,0.125251
1.507964,0.998027,0.062749
1.570796,1.000000,0.000000
1.633628,0.998027,-0.062749
1.696460,0.992115,-0.125251
1.759292,0.982287,-0.187258
1.822124,0.968583,-0.248526
1.884956,0.951057,-0.308814
1.947787,0.929776,-0.367882
2.010619,0.904827,-0.425499
2.073451,0.876307,-0.481437
2.136283,0.844328,-0.535474
2.199115,0.809017,-0.587399
2.261947,0.770513,-0.637005
2.324779,0.728969,-0.684097
2.387610,0.684547,-0.728489
2.450442,0.637424,-0.770006
2.513274,0.587785,-0.808485
2.576106,0.535827,-0.843772
2.638938,0.481754,-0.875730
2.701770,0.425779,-0.904232
2.764602,0.368125,-0.929165
2.827433,0.309017,-0.950431
2.890265,0.248690,-0.967946
2.953097,0.187381,-0.981641
3.015929,0.125333,-0.991462
3.078761,0.062791,-0.997370
3.141593,0.000000,-0.999342
3.204425,-0.062791,-0.997370
3.267256,-0.125333,-0.991462
3.330088,-0.187381,-0.981641
3.392920,-0.248690,-0.967946
3.455752,-0.309017,-0.950431
3.518584,-0.368125,-0.929165
3.581416,-0.425779,-0.904232
3.644247,-0.481754,-0.875730
3.707079,-0.535827,-0.843772
3.769911,-0.587785,-0.808485
3.832743,-0.637424,-0.770006
3.895575,-0.684547,-0.728489
3.958407,-0.728969,-0.684097
4.021239,-0.770513,-0.637005
4.084070,-0.809017,-0.587399
4.146902,-0.844328,-0.535474
4.209734,-0.876307,-0.481437
4.272566,-0.904827,-0.425499
4.335398,-0.929776,-0.367882
4.398230,-0.951057,-0.308814
4.461062,-0.968583,-0.248526
4.523893,-0.982287,-0.187258
4.586725,-0.992115,-0.125251
4.649557,-0.998027,-0.062749
4.712389,-1.000000,-0.000000
4.775221,-0.998027,0.062749
4.838053,-0.992115,0.125251
4.900885,-0.982287,0.187258
4.963716,-0.968583,0.248526
5.026548,-0.951057,0.308814
5.089380,-0.929776,0.367882
5.152212,-0.904827,0.425499
5.215044,-0.876307,0.481437
5.277876,-0.844328,0.535474
5.340708,-0.809017,0.587399
5.403539,-0.770513,0.637005
5.466371,-0.728969,0.684097
5.529203,-0.684547,0.728489
5.592035,-0.637424,0.770006
5.654867,-0.587785,0.808485
5.717699,-0.535827,0.843772
5.780530,-0.481754,0.875730
5.843362,-0.425779,0.904232
5.906194,-0.368125,0.929165
5.969026,-0.309017,0.950431
6.031858,-0.248690,0.967946
6.094690,-0.187381,0.981641
6.157522,-0.125333,0.991462
6.220353,-0.062791,0.997370
6.283185,-0.000000,0.999342
