"x","sin(x)"
0,0
0.062832,0.062791
0.125664,0.125334
0.188496,0.187382
0.251328,0.24869
0.31416,0.309018
0.376992,0.368125
0.439824,0.42578
0.502656,0.481755
0.565488,0.535828
0.62832,0.587786
0.691152,0.637425
0.753984,0.684548
0.816816,0.72897
0.879648,0.770515
0.94248,0.809018
1.005312,0.844329
1.068144,0.876308
1.130976,0.904828
1.193808,0.929778
1.25664,0.951057
1.319472,0.968584
1.382304,0.982288
1.445136,0.992115
1.507968,0.998027
1.5708,1
1.633632,0.998026
1.696464,0.992114
1.759296,0.982286
1.822128,0.968582
1.88496,0.951055
1.947792,0.929775
2.010624,0.904825
2.073456,0.876304
2.136288,0.844325
2.19912,0.809014
2.261952,0.77051
2.324784,0.728965
2.387616,0.684543
2.450448,0.63742
2.51328,0.58778
2.576112,0.535822
2.638944,0.481748
2.701776,0.425774
2.764608,0.368119
2.82744,0.309011
2.890272,0.248683
2.953104,0.187375
3.015936,0.125326
3.078768,0.062783
3.1416,-0.000007
3.204432,-0.062798
3.267264,-0.125341
3.330096,-0.187389
3.392928,-0.248698
3.45576,-0.309025
3.518592,-0.368132
3.581424,-0.425787
3.644256,-0.481761
3.707088,-0.535834
3.76992,-0.587792
3.832752,-0.637431
3.895584,-0.684554
3.958416,-0.728975
4.021248,-0.770519
4.08408,-0.809023
4.146912,-0.844333
4.209744,-0.876311
4.272576,-0.904831
4.335408,-0.92978
4.39824,-0.95106
4.461072,-0.968586
4.523904,-0.982289
4.586736,-0.992116
4.649568,-0.998027
4.7124,-1
4.775232,-0.998026
4.838064,-0.992113
4.900896,-0.982285
4.963728,-0.96858
5.02656,-0.951053
5.089392,-0.929772
5.152224,-0.904822
5.215056,-0.876301
5.277888,-0.844321
5.34072,-0.80901
5.403552,-0.770505
5.466384,-0.72896
5.529216,-0.684538
5.592048,-0.637414
5.65488,-0.587775
5.717712,-0.535816
5.780544,-0.481742
5.843376,-0.425767
5.906208,-0.368112
5.96904,-0.309004
6.031872,-0.248676
6.094704,-0.187367
6.157536,-0.125319
6.220368,-0.062776
6.2832,0.000015
